Timestamp, FixationPointX, FixationPointY, FixationPointZ,LeftGazeX, LeftGazeY, LeftGazeZ, RightGazeX, RightGazeY, RightGazeZ,LeftGazeOriginX, LeftGazeOriginY, LeftGazeOriginZ, RightGazeOriginX, RightGazeOriginY, RightGazeOriginZ,LeftPupilDiameter, RightPupilDiameter, LeftEyeOpenness, RightEyeOpenness
2023-09-18 11:54:28.729, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1206553, 0.1717399
2023-09-18 11:54:28.739, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1374053, 0.1909688
2023-09-18 11:54:28.749, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1374053, 0.1909688
2023-09-18 11:54:28.758, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1253377, 0.1994842
2023-09-18 11:54:28.769, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1253377, 0.1994842
2023-09-18 11:54:28.777, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1373, 0.2046003
2023-09-18 11:54:28.790, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1187898, 0.1487876
2023-09-18 11:54:28.801, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1187898, 0.1487876
2023-09-18 11:54:28.811, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1559449, 0.2124644
2023-09-18 11:54:28.823, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1245628, 0.2156762
2023-09-18 11:54:28.834, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1245628, 0.2156762
2023-09-18 11:54:28.845, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1330003, 0.1571278
2023-09-18 11:54:28.856, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.12155, 0.1359579
2023-09-18 11:54:28.867, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.12155, 0.1359579
2023-09-18 11:54:28.877, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1376524, 0.2072739
2023-09-18 11:54:28.889, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1133413, 0.2007883
2023-09-18 11:54:28.901, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1133413, 0.2007883
2023-09-18 11:54:28.911, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1257744, 0.2172761
2023-09-18 11:54:28.923, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.111333, 0.2015814
2023-09-18 11:54:28.934, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.111333, 0.2015814
2023-09-18 11:54:28.945, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.119427, 0.2142019
2023-09-18 11:54:28.957, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.0828522, 0.1835599
2023-09-18 11:54:28.967, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.0828522, 0.1835599
2023-09-18 11:54:28.979, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1199312, 0.2112624
2023-09-18 11:54:28.989, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.06584571, 0.1263322
2023-09-18 11:54:29.001, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.06584571, 0.1263322
2023-09-18 11:54:29.010, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1174585, 0.2272117
2023-09-18 11:54:29.023, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1351972, 0.175761
2023-09-18 11:54:29.033, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1351972, 0.175761
2023-09-18 11:54:29.044, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1421419, 0.1806349
2023-09-18 11:54:29.056, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1229983, 0.1775963
2023-09-18 11:54:29.067, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1229983, 0.1775963
2023-09-18 11:54:29.077, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1168322, 0.2061336
2023-09-18 11:54:29.090, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.109838, 0.2274993
2023-09-18 11:54:29.102, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.109838, 0.2274993
2023-09-18 11:54:29.112, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.0909931, 0.140866
2023-09-18 11:54:29.123, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1176278, 0.1981515
2023-09-18 11:54:29.134, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1176278, 0.1981515
2023-09-18 11:54:29.146, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.130753, 0.2086376
2023-09-18 11:54:29.156, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1551482, 0.2184986
2023-09-18 11:54:29.168, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1551482, 0.2184986
2023-09-18 11:54:29.179, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1370519, 0.2271689
2023-09-18 11:54:29.191, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1146469, 0.2478109
2023-09-18 11:54:29.201, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1146469, 0.2478109
2023-09-18 11:54:29.212, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1410403, 0.2268808
2023-09-18 11:54:29.224, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1259362, 0.2355583
